   595    0.64400000
   605    0.62200000
   615    0.63800000
   625    0.64900000
   635    0.65200000
   645    0.63900000
   655    0.64600000
   665    0.65700000
   675    0.65200000
   685    0.65500000
   695    0.64400000
   705    0.66300000
   715    0.66300000
   725    0.66800000
   735    0.67600000
   745    0.67600000
   755    0.68600000
   765    0.67900000
   775    0.67800000
   785    0.68300000
   795    0.69400000
   805    0.69900000
   815    0.71000000
   825    0.73000000
   835    0.76300000
   845    0.81200000
   855    0.90700000
   865    1.04400000
   875    1.33600000
   885    1.88100000
   895    2.16900000
   905    2.07500000
   915    1.59800000
   925    1.21100000
   935    0.91600000
   945    0.74600000
   955    0.67200000
   965    0.62700000
   975    0.61500000
   985    0.60700000
   995    0.60600000
  1005    0.60900000
  1015    0.60300000
  1025    0.60100000
  1035    0.60300000
  1045    0.60100000
  1055    0.61100000
  1065    0.60100000
  1075    0.60800000
